,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
3396,Casa,,Mendiolaza,Estancia Q2,,Country,Si,,,1 año,,3 Dormitorios,,,,,,
3397,Casa,Norte,Córdoba,La Carolina,,Cerrado,,,,,,3 Dormitorios,,,,,,240000
3398,Casa,,Mendiolaza,Estancia Q2,,,Si,,,,3 Plantas,3 Dormitorios,4 Baños,,Cubierta,1000,450,
3399,Casa,,Mendiolaza,Estancia Q2,,Country,Si,,,,,3 Dormitorios,,,,,,
3400,Casa,,Mendiolaza,Estancia Q2,,,Si,,,3 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,800,300,420000
3401,Casa,,Villa Allende,Housing y Condominios,,Cerrado,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,400,180,280000
3402,Casa,,Villa Allende,Golf,LISBOA 500,Abierto,Si,,,,,3 Dormitorios,,,,,,
3403,Casa,,Mendiolaza,El Talar,,Cerrado,Si,,,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,510,250,290000
3404,Casa,,Córdoba,Urca,JOSE MATURANA 967,,,,,,,4 Dormitorios,,,,,,220000
3405,Casa,,San Roque,,mabu,,Si,,Terminada,3 años,2 Plantas,4 Dormitorios,2 Baños,2,,1250,248,127000
3406,Casa,Norte,Córdoba,Alejandro Centeno,Blanqui 4100,Abierto,Si,,Terminada,,2 Plantas,4 Dormitorios,4 Baños,3,Cubierta,,,290000
3407,Prefabricada,,Córdoba,Talleres Este,,,No,,,,1 Planta,1 Dormitorio,1 Baño,1,Semidescubierta,25,25,
3408,Casa,Norte,Córdoba,Centenario,FRANCISCO DE AGUIRRE 4489,Abierto,Si,,Terminada,64 años,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,131,207,150000
3409,Duplex,Norte,Córdoba,Villa Warcalde,,Cerrado,,,,,2 Plantas,3 Dormitorios,3 Baños,3,Semidescubierta,360,130,200000
3410,Casa,Sur,Córdoba,Los Olmos,ANCONA 1,Abierto,Si,,,,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,250,120,85000
3411,Casa,,Córdoba,Juniors,Alejandro Carbo 1500,Abierto,,,Terminada,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,254,200,165000
