,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1116,Casa,,Córdoba,Lomas de la Carolina,Country Lomas De La Carolina 100,,,,,15,3,5,5,4,,1.500,780,1100000
1117,Casa,,Villa Carlos Paz,Altos De Las Vertientes,Casa A La Venta De 4 Dorm Con Pileta En Carlos Paz 100,,,,,,1,4,3,,,700,500,650000
1118,Casa,,Pdo. de Punilla,Cosquin,Urquiza 800,,,,,,,3,2,2,,2.970,404,520000
1119,Casa,,Córdoba,Nueva Cordoba,Pje. Valtodano Al 1300,,,,,,1,4,4,,,336,336,400000
1120,Casa,,Córdoba,Centro,Causana 100,,,,,,1,3,,,,2.700,300,350000
1121,Casa,,Countries y Barrios Cerrados Cordoba Capital,El Bosque,,,,,,,,,,,,1.500,300,460000
1122,Casa,,Pdo. de Colon,Rio Ceballos,San Carlos 100,,,,,15,1,3,2,1,,456,227,185000
1123,Casa,,Córdoba,Alta Cordoba,Quevedo 300,,,,,50,1,3,2,,,242,138,90000
1124,Casa,,Villa Allende,San Isidro,San Isidro 100,,,,,,,3,3,2,,900,270,310000
1125,Casa,,Pdo. de San Alberto,Santa Maria,Country La Melinca 100,,,,,,1,2,,,,,,220000
1126,Duplex,,Countries y Barrios Cerrados Cordoba Capital,Chacra del Norte,Chacra Del Norte 100,,,,,,,3,3,2,,180,180,195000
1127,Casa,,Unquillo,Ayres Del Nordeste,Ayres Del Nordeste 100,,,,,,,2,1,1,,365,80,75000
1128,Casa,,Córdoba,Villa Cabrera,Los Lirios 1500,,,,,,2,4,2,2,,220,230,205000
1129,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,Venta De Casa En B El Prado 100,,,,,,,3,4,4,,660,310,350000
1130,Casa,,Unquillo,Ayres Del Nordeste,Ayres Del Nordeste 100,,,,,,,2,1,1,,413,80,75000
1131,Casa,,Unquillo,Ayres Del Nordeste,Ayres Del Nordeste 100,,,,,,,2,1,1,,459,89,75000
1132,Duplex,,Pdo. de Calamuchita,La Calera,Ejercito Argentino 500,,,,,,3,3,2,1,,180,140,135000
1133,Casa,,Countries y Barrios Cerrados Cordoba Capital,Altos de Manantiales,Altos De Manantiales 100,,,,,,,3,,,,360,190,270000
1134,Casa,,Córdoba,Yofre Norte,Gobernador Nuñez 4900,,,,,20,2,3,2,1,,230,180,57000
